DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/20/2012,14:20,,,,,,,,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3044707,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
01/05/2018,16:00,BROOKLYN,11207.0,40.66708,-73.89997,POINT (-73.89997 40.66708),,,515       BLAKE AVENUE                  ,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,3822998,PASSENGER VEHICLE,,,,
09/27/2014,13:30,,,,,,ASTORIA BOULEVARD               ,33 STREET                       ,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,1032066,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/06/2018,15:08,BRONX,10459.0,40.823143,-73.89043000000001,POINT (-73.89043 40.823143),ALDUS STREET                    ,HOE AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3975366,Station Wagon/Sport Utility Vehicle,Bus,,,
05/15/2015,8:41,BRONX,10467.0,40.868761600000006,-73.8643569,POINT (-73.8643569 40.8687616),WILLIAMSBRIDGE ROAD             ,WALLACE AVENUE                  ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3221131,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/20/2013,17:40,BROOKLYN,11201,40.7020602,-73.99261379999999,POINT (-73.9926138 40.7020602),OLD FULTON STREET               ,HICKS STREET                    ,,0.0,0.0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,190928,PASSENGER VEHICLE,TAXI,,,
03/30/2019,0:55,MANHATTAN,10011.0,40.74044,-73.9946,POINT (-73.9946 40.74044),AVENUE OF THE AMERICAS          ,WEST 19 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4107290,Taxi,Taxi,,,
08/07/2018,8:00,,,,,,3 AVENUE                        ,HAMILTON AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3956477,Sedan,Sedan,,,
07/26/2019,11:15,BRONX,10466.0,40.880318,-73.841286,POINT (-73.841286 40.880318),BOSTON ROAD                     ,ELY AVENUE,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4178938,Box Truck,Sedan,,,
08/27/2018,12:15,BRONX,10457.0,40.847640000000006,-73.90100000000001,POINT (-73.901 40.84764),WEBSTER AVENUE                  ,EAST TREMONT AVENUE,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3969022,Station Wagon/Sport Utility Vehicle,Taxi,,,
05/18/2017,12:15,,,40.789497,-73.78225,POINT (-73.78225 40.789497),CROSS ISLAND PARKWAY            ,,,2.0,0.0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3672948,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/22/2016,16:20,,,40.872143,-73.81869499999999,POINT (-73.818695 40.872143),HUTCHINSON RIVER PARKWAY        ,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3525709,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/28/2016,16:30,QUEENS,11368.0,40.749485,-73.8576,POINT (-73.8576 40.749485),,,108-32    42 AVENUE                     ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3550412,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/27/2016,12:05,,,40.74666,-73.99007399999999,POINT (-73.990074 40.74666),,,AVENUE OF THE AMERICAS                  ,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3528410,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
02/18/2014,14:00,BROOKLYN,11209,40.62847120000001,-74.03195490000002,POINT (-74.0319549 40.6284712),80 STREET                       ,RIDGE BOULEVARD                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,144564,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/31/2017,4:50,,,40.784237,-73.947075,POINT (-73.947075 40.784237),EAST 96 STREET                  ,,,1.0,0.0,0,0,1,0,0,0,Pavement Slippery,Traffic Control Disregarded,,,,3644175,SPORT UTILITY / STATION WAGON,BICYCLE,,,
11/01/2016,7:33,,,40.715176,-73.951965,POINT (-73.951965 40.715176),BROOKLYN QUEENS EXPRESSWAY      ,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3552470,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
03/28/2015,6:30,STATEN ISLAND,10304,40.6135884,-74.0826645,POINT (-74.0826645 40.6135884),PARK HILL AVENUE                ,SOBEL COURT                     ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3194266,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/04/2013,20:58,QUEENS,11385,40.71333320000001,-73.9130382,POINT (-73.9130382 40.7133332),METROPOLITAN AVENUE             ,GRANDVIEW AVENUE                ,,3.0,0.0,0,0,0,0,3,0,Fatigued/Drowsy,Unspecified,Unspecified,,,216252,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
01/09/2014,8:25,MANHATTAN,10128,40.7858727,-73.9530448,POINT (-73.9530448 40.7858727),PARK AVENUE                     ,EAST 95 STREET                  ,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,51614,PASSENGER VEHICLE,TAXI,,,
04/15/2017,17:00,MANHATTAN,10017.0,40.7501,-73.97494499999999,POINT (-73.974945 40.7501),3 AVENUE                        ,EAST 41 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3651333,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
